,Unnamed: 0,Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits,ratings,difficulties,num_ratings
0,0,2018-19,Fall,CS,2304,Self Study Prog Sys,Lohani,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,90985,1,5.0,1.8,9.0
1,1,2020-21,Fall,CS,2304,Self Study Prog Sys,Cao,3.33,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0,6,82989,1,2.0,4.9,13.0
2,2,2021-22,Spring,CS,2304,TS:  Prog Sys C++,Cao,3.71,62.5,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,13220,1,2.0,4.9,13.0
3,3,2019-20,Fall,CS,2304,Self Stdy-Intro Blockchain Sys,Cameron,2.0,33.3,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,22.2,0.0,22.2,2,9,91697,1,4.8,2.8,6.0
4,4,2020-21,Fall,CS,2304,Self Study Prog Sys,Charles,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,82990,1,4.4,2.6,18.0
5,5,2021-22,Fall,CS,2304,TS: Prog Sys C++,Cao,3.85,81.8,9.1,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,83073,1,2.0,4.9,13.0
6,6,2023-24,Fall,CS,4984,SS: Diversity Issues in CS,Seyam,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,92159,1,5.0,3.0,160.0
7,7,2019-20,Spring,CS,2304,TS: Docker Containerization,Irwin,3.95,92.3,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,12955,1,4.5,3.5,2.0
8,8,2021-22,Fall,CS,2304,TS: Python Programming,Lohani,3.69,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0,13,83074,1,5.0,1.8,9.0
9,9,2021-22,Spring,CS,2304,TS: Python Programming,Lohani,3.58,76.9,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1,13,13222,1,5.0,1.8,9.0
10,10,2022-23,Fall,CS,2304,TS: Python,Lohani,3.85,84.6,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,83250,1,5.0,1.8,9.0
11,11,2023-24,Fall,CS,2304,TS: Kubernetes Programming,Irwin,3.67,69.2,7.7,0.0,15.4,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,2,13,83330,1,4.5,3.5,2.0
12,12,2023-24,Fall,CS,5984,SS: Diversity Issues in CS,Seyam,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,92160,1,5.0,3.0,160.0
13,13,2018-19,Fall,CS,3634,Comp Sci Foundations for CMDA,Warburton,3.34,40.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,5,82713,3,3.6,3.4,67.0
14,14,2018-19,Fall,CS,5214,Mod & Eval Comp Sys,Chen,3.94,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,90687,3,1.6,3.9,8.0
15,15,2018-19,Spring,CS,4414,Issues in Scientific Computing,Onufriev,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,12827,3,1.0,5.0,1.0
16,16,2018-19,Spring,CS,6304,Adv Tops Lang & Trans,Jung,3.82,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,20181,3,2.9,4.0,46.0
17,17,2019-20,Fall,CS,4784,Human-Computer Interact Capstn,McCrickard,3.8,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,82850,3,4.5,3.4,15.0
18,18,2019-20,Fall,CS,5485,Numer Analy and Softw,Beattie,3.86,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,90498,3,2.0,5.0,1.0
19,19,2019-20,Fall,CS,4414,Issues in Scientific Computing,Lin,3.8,60.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,90499,3,3.5,3.8,24.0
20,20,2019-20,Fall,CS,4704,Software Engineering Capstone,Seyam,2.94,20.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,5,91193,3,5.0,3.0,160.0
21,21,2019-20,Spring,CS,4974,Independent Study,Huang,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,13044,3,1.5,4.5,9.0
22,22,2019-20,Spring,CS,5504,Computer Architecture,Feng,3.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,5,13142,3,5.0,3.0,1.0
